Mutation Types	f221c897-6ad0-0df9-e040-11ac0c4813ef	f82d213f-9843-28eb-e040-11ac0d483e48	f82d213f-9ba5-7b6b-e040-11ac0c486882	f82d213f-bc06-5b51-e040-11ac0c48687e	f82d213f-bc99-5b1d-e040-11ac0c486880	f82d213f-caa7-fd59-e040-11ac0d483e46	f82d2146-70f5-8114-e040-11ac0d483e50	f83f1eb8-b2c8-c3d6-e040-11ac0c48261e	f83fc777-5416-c3e9-e040-11ac0d482c8e	f8407106-8a96-8f85-e040-11ac0d481656	f8425828-5b0f-23a8-e040-11ac0d484128	f843ed5c-0336-3d33-e040-11ac0d48478c	f845ebba-8c56-b559-e040-11ac0c4863d5	f8467ec8-2d61-ba21-e040-11ac0c483584	f8515e5a-7de3-6be3-e040-11ac0c480d6d	f856fa85-fdb8-c0b0-e040-11ac0d480b4e	f8593ac0-9480-22a0-e040-11ac0d48697a	f85add3d-e2e6-31f8-e040-11ac0d48479c	f85ae2b7-cebf-17a2-e040-11ac0c48033a	f860bc4c-f31b-6538-e040-11ac0c48268f	f866123a-9eb0-e856-e040-11ac0c48717e	f8696c79-b165-92a6-e040-11ac0c4804bf	f86975a2-78a4-ef8c-e040-11ac0c4809da	f86ae246-2492-9785-e040-11ac0d4813b0	f86b6ba2-8f4b-ee53-e040-11ac0d485904	f86b7e84-7040-c751-e040-11ac0c485675	f86e2d80-911b-7a19-e040-11ac0d486900	f87348df-7186-4c6b-e040-11ac0c482ba9	f87cdca1-2c85-49d2-e040-11ac0d485c9d	f87d7c27-eeef-920e-e040-11ac0d48388d	f87e94a9-ef37-fcba-e040-11ac0c482332	fc95d5ce-6899-62f1-e040-11ac0c486011	fc962061-8ab0-42b3-e040-11ac0c4810cc	fc968a86-32e3-ee88-e040-11ac0d487adb	fc96e36c-67f1-4c02-e040-11ac0d48393d	fc97c1c5-9f4a-be90-e040-11ac0c480992
0:homdel:0-100kb	0	0	0	0	0	4	0	0	4	1	0	0	0	0	0	0	2	2	5	0	5	1	3	1	1	1	2	0	0	4	0	0	0	0	0	1
0:homdel:100kb-1Mb	0	0	0	1	1	0	1	1	3	2	0	0	1	0	0	1	2	5	1	0	12	0	0	0	0	2	0	0	0	1	1	0	0	2	0	0
0:homdel:>1Mb	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	1	0	5	1	11	3	14	14	20	3	2	1	2	0	0	9	6	13	8	0	3	0	4	4	1	6	2	0	6	1	5	1	3	1	0	3
1:LOH:100kb-1Mb	0	0	8	3	13	0	3	16	4	5	1	2	2	0	0	12	6	15	6	2	12	0	3	2	1	2	1	0	8	2	13	2	0	3	1	4
1:LOH:1Mb-10Mb	0	0	4	5	6	0	2	2	3	9	0	0	2	0	0	10	4	4	13	1	5	3	3	5	0	5	2	0	14	0	10	2	3	3	0	0
1:LOH:10Mb-40Mb	0	0	1	7	4	0	0	3	1	2	3	0	0	0	1	4	1	4	12	0	4	0	2	3	0	0	0	0	4	0	6	8	9	2	0	0
1:LOH:>40Mb	0	0	0	13	1	0	0	8	0	1	8	0	1	0	4	2	0	0	10	0	2	0	0	1	0	0	0	0	12	0	10	13	10	3	1	1
2:LOH:0-100kb	3	1	9	1	14	6	12	0	24	4	0	4	5	0	0	3	7	11	6	5	0	3	6	2	4	8	2	4	2	9	1	4	0	0	0	0
2:LOH:100kb-1Mb	5	0	15	2	13	8	2	1	60	7	3	4	1	0	0	6	12	17	5	8	7	1	19	7	5	8	8	10	2	17	2	0	1	0	0	0
2:LOH:1Mb-10Mb	1	0	7	1	19	4	5	0	37	8	0	13	9	0	0	10	23	31	4	6	6	3	19	5	2	6	8	11	5	24	1	0	1	1	0	0
2:LOH:10Mb-40Mb	7	0	3	1	10	1	0	1	7	6	0	5	15	0	0	5	17	13	3	9	6	4	4	4	2	6	7	9	2	16	0	0	0	1	0	2
2:LOH:>40Mb	10	1	4	1	3	0	0	0	6	10	0	5	4	0	0	2	5	3	1	6	7	9	2	4	1	0	10	5	0	4	0	0	0	0	0	0
3-4:LOH:0-100kb	3	0	8	0	10	8	3	0	49	4	0	0	3	0	0	4	18	23	6	2	1	2	12	1	2	3	0	7	1	9	1	0	0	0	0	0
3-4:LOH:100kb-1Mb	2	0	5	0	18	0	4	0	26	4	0	1	5	0	0	2	36	31	8	0	5	1	7	4	2	14	1	6	4	11	2	0	0	0	0	0
3-4:LOH:1Mb-10Mb	1	0	3	0	10	0	5	0	28	5	0	0	3	0	0	1	24	26	2	0	7	7	2	3	0	16	3	9	1	3	1	0	0	0	0	0
3-4:LOH:10Mb-40Mb	1	0	1	0	3	0	2	0	10	3	0	0	3	0	0	2	7	10	0	0	2	1	1	0	0	3	0	1	1	2	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	11	5	11	0	12	3	0	0	1	1	0	0	23	5	2	0	0	5	2	0	0	0	0	2	0	5	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	1	0	18	0	5	0	11	4	0	0	0	0	0	0	42	2	0	0	0	5	2	0	0	0	0	3	1	2	1	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	1	0	5	0	0	0	9	7	0	0	0	0	0	0	9	2	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	25	455	1	0	1	0	0	0	0	2	0	0	5	2	0	0	0	0	2	0	0	3	1	1	0	57	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	1	0	0	10	39	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	6	0	0	0	1	0	1	0	25	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	2	0	2	1	8	4	9	13	4	4	1	2	0	3	0	13	3	6	4	1	0	0	0	5	2	13	1	0	6	1	4	1	3	1	0	0
2:het:100kb-1Mb	0	0	0	4	4	2	11	11	1	2	0	2	0	13	0	5	5	12	3	0	8	0	0	1	1	8	5	0	15	0	7	0	2	1	0	0
2:het:1Mb-10Mb	0	0	0	7	6	0	9	5	2	8	1	0	0	22	0	16	6	15	6	0	9	2	5	6	0	3	5	1	9	0	10	4	4	4	0	2
2:het:10Mb-40Mb	0	0	0	9	2	0	1	9	0	2	3	1	0	9	4	15	3	11	8	0	8	1	9	6	0	2	7	0	8	0	8	15	8	6	2	7
2:het:>40Mb	0	0	1	7	4	0	0	15	0	2	6	0	0	20	20	4	1	2	15	0	2	0	1	2	0	0	2	1	10	0	16	13	12	23	16	19
3-4:het:0-100kb	9	3	15	2	14	22	26	1	110	17	1	21	8	4	1	26	36	29	4	6	6	0	54	37	5	34	29	13	10	18	10	5	2	4	0	2
3-4:het:100kb-1Mb	4	9	14	6	12	53	22	5	60	20	0	28	10	0	0	28	52	39	3	8	17	8	42	27	9	31	48	9	19	20	13	1	5	7	0	0
3-4:het:1Mb-10Mb	8	11	9	5	23	65	31	1	34	26	0	20	6	1	0	31	53	39	2	22	24	8	49	27	7	38	34	9	6	13	13	2	3	1	0	2
3-4:het:10Mb-40Mb	4	6	12	0	11	10	12	4	5	17	1	17	5	1	0	26	27	20	0	11	18	8	21	13	15	13	12	7	1	13	1	2	2	3	0	0
3-4:het:>40Mb	3	19	12	1	4	23	1	2	1	4	0	19	8	3	1	4	5	2	0	15	10	14	4	1	11	7	9	4	2	7	1	1	0	1	5	0
5-8:het:0-100kb	6	5	12	0	16	47	46	0	126	13	2	26	11	14	0	22	57	8	1	7	0	0	21	28	16	21	25	18	2	29	11	0	0	0	0	0
5-8:het:100kb-1Mb	6	7	16	0	16	42	51	0	42	22	1	24	11	16	0	35	95	10	0	6	3	2	10	23	10	25	14	15	5	23	13	1	1	0	0	0
5-8:het:1Mb-10Mb	12	0	5	0	10	25	18	0	20	15	0	7	4	0	0	17	33	6	0	2	4	12	6	14	11	9	13	7	3	8	2	0	0	0	0	1
5-8:het:10Mb-40Mb	0	1	2	0	1	0	0	0	5	0	0	0	1	0	0	0	3	0	0	2	1	1	2	0	4	1	0	1	0	2	0	0	0	0	0	0
5-8:het:>40Mb	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
9+:het:0-100kb	2	23	1	0	6	167	5	0	8	2	0	12	24	57	0	11	28	0	0	9	0	0	0	0	0	98	11	8	0	115	0	0	0	0	0	0
9+:het:100kb-1Mb	0	27	0	0	8	70	2	0	1	5	1	14	25	77	0	10	29	0	0	17	0	0	0	0	1	62	11	18	0	23	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	2	0	0	0	7	0	0	1	0	1	4	0	2	0	0	2	0	0	1	0	0	0	0	0	6	3	5	0	3	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
