Mutation Types	d31cce9d-1b38-44fd-9378-0d128e12a011	e98e4e23-a139-4fff-b017-35f3f976eddd	f075dcdb-4b6a-4186-bfc5-c1787c4a14ac	f9837a56-7244-4846-a63d-266e6a92f168
0:homdel:0-100kb	0	2	0	0
0:homdel:100kb-1Mb	2	0	0	2
0:homdel:>1Mb	0	0	0	0
1:LOH:0-100kb	2	1	3	2
1:LOH:100kb-1Mb	3	1	0	1
1:LOH:1Mb-10Mb	3	0	1	1
1:LOH:10Mb-40Mb	2	0	3	2
1:LOH:>40Mb	0	0	1	2
2:LOH:0-100kb	0	0	0	0
2:LOH:100kb-1Mb	0	0	0	0
2:LOH:1Mb-10Mb	0	0	0	0
2:LOH:10Mb-40Mb	2	1	0	2
2:LOH:>40Mb	0	0	0	0
3-4:LOH:0-100kb	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0
5-8:LOH:100kb-1Mb	1	0	0	0
5-8:LOH:1Mb-10Mb	1	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0
9+:LOH:0-100kb	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0
9+:LOH:>40Mb	0	0	0	0
2:het:0-100kb	0	0	0	0
2:het:100kb-1Mb	1	2	0	0
2:het:1Mb-10Mb	1	1	3	1
2:het:10Mb-40Mb	4	3	5	8
2:het:>40Mb	22	19	23	14
3-4:het:0-100kb	0	1	3	2
3-4:het:100kb-1Mb	0	0	3	1
3-4:het:1Mb-10Mb	0	0	2	0
3-4:het:10Mb-40Mb	0	0	3	3
3-4:het:>40Mb	1	3	0	1
5-8:het:0-100kb	0	0	0	2
5-8:het:100kb-1Mb	0	0	0	0
5-8:het:1Mb-10Mb	0	0	2	2
5-8:het:10Mb-40Mb	0	0	1	1
5-8:het:>40Mb	0	0	0	1
9+:het:0-100kb	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0
9+:het:1Mb-10Mb	1	0	0	0
9+:het:10Mb-40Mb	2	0	0	0
9+:het:>40Mb	0	0	0	0
