Mutation Types	0b19bee7-5281-4915-9d98-c20eb3e84ecf	23d77176-dfed-4bee-ac96-9934377d8d81	2bde43e2-fd4e-413e-adc7-c50bca75d358	3b20d548-2a7d-4031-85a1-425ca7201d7a	46693a2b-5105-4770-a9e1-031dfedeb694	49dec0c2-8e75-4f44-a253-82b2ea605890	53bb7112-3e38-45fe-a9c4-1b0871babf4a	9ffcb7fa-424c-4f93-87a7-ce5e9053c613	bce88385-4a1b-4a8c-920c-060f6a2675d4	d5443922-fea5-4ff0-bd6e-8ce04e1951d8	de614a3e-1c0d-49c7-a2f1-28bc58e6e5c7	fa8844f8-c4b6-487a-8187-e30c12a7a453
0:homdel:0-100kb	2	4	0	5	0	0	1	2	0	1	0	1
0:homdel:100kb-1Mb	1	0	0	0	0	1	1	1	0	0	0	0
0:homdel:>1Mb	0	1	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	2	0	1	24	1	1	1	3	2	0	0	2
1:LOH:100kb-1Mb	7	0	0	5	0	0	0	1	0	1	2	0
1:LOH:1Mb-10Mb	15	0	0	3	2	0	3	1	0	0	1	2
1:LOH:10Mb-40Mb	9	0	1	5	1	0	1	2	0	0	0	0
1:LOH:>40Mb	3	0	1	1	0	0	0	0	0	0	0	0
2:LOH:0-100kb	1	1	0	4	1	1	3	0	0	2	1	4
2:LOH:100kb-1Mb	1	1	1	2	0	2	3	0	4	1	2	3
2:LOH:1Mb-10Mb	3	0	1	14	1	2	5	2	7	4	5	3
2:LOH:10Mb-40Mb	0	0	0	16	9	5	2	4	13	6	8	7
2:LOH:>40Mb	0	0	2	2	4	1	7	4	5	4	3	13
3-4:LOH:0-100kb	0	4	0	11	0	0	2	1	3	1	1	0
3-4:LOH:100kb-1Mb	1	2	3	1	0	0	1	0	2	1	2	2
3-4:LOH:1Mb-10Mb	0	2	3	6	2	0	6	1	3	1	1	1
3-4:LOH:10Mb-40Mb	0	3	3	2	0	0	1	4	1	1	1	1
3-4:LOH:>40Mb	0	0	2	1	0	0	0	1	5	2	0	1
5-8:LOH:0-100kb	0	8	3	5	0	0	1	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	4	1	4	0	0	2	1	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	2	1	0	0	2	0	1	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	5	1	0	0	10	0	2	0	0	0
9+:LOH:100kb-1Mb	0	0	3	0	0	0	7	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	1	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	3	1	0	14	1	0	2	1	1	1	1	1
2:het:100kb-1Mb	5	1	0	4	0	0	1	2	0	0	1	0
2:het:1Mb-10Mb	10	4	0	20	4	0	1	1	1	0	0	0
2:het:10Mb-40Mb	12	2	0	13	2	0	2	2	0	0	3	0
2:het:>40Mb	16	0	0	2	2	0	2	0	1	1	0	0
3-4:het:0-100kb	4	8	10	28	14	3	5	1	5	1	9	3
3-4:het:100kb-1Mb	2	21	5	40	36	8	3	3	10	2	13	9
3-4:het:1Mb-10Mb	2	56	5	48	21	8	19	1	6	8	25	5
3-4:het:10Mb-40Mb	1	26	11	22	31	10	16	3	7	5	15	12
3-4:het:>40Mb	3	7	11	0	14	17	11	10	9	17	8	8
5-8:het:0-100kb	0	24	20	33	4	0	8	5	4	0	14	2
5-8:het:100kb-1Mb	0	34	14	27	20	5	11	4	7	2	7	2
5-8:het:1Mb-10Mb	0	95	4	32	13	1	3	3	2	1	18	1
5-8:het:10Mb-40Mb	1	45	0	6	2	0	2	2	1	0	12	1
5-8:het:>40Mb	0	6	0	0	4	0	0	0	3	0	0	1
9+:het:0-100kb	0	12	7	5	0	0	1	0	2	0	1	0
9+:het:100kb-1Mb	0	10	2	0	0	0	5	2	5	0	0	0
9+:het:1Mb-10Mb	0	20	4	0	1	0	2	2	3	0	0	0
9+:het:10Mb-40Mb	0	1	1	0	0	0	0	1	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0
