Mutation Types	2b142863-b963-4cc9-8f8f-c72503c93390	418a3dec-96ff-4719-becb-e1a8260cce2f	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	45a7949d-e63f-4956-866c-df51257032de	4838b5a9-968c-4178-bffb-3fafe1f6dc09	b73523d7-f5a5-4140-8537-4df4d1ecf465	cda1a403-16b6-487c-a82a-c377d1d0f89d	df8a913c-5160-4fc5-950d-7c890e24e820	ffdd4feb-aca3-4104-b1e8-954d705a6450
0:homdel:0-100kb	0	0	0	0	0	1	0	0	0
0:homdel:100kb-1Mb	1	0	0	0	0	0	0	0	1
0:homdel:>1Mb	0	0	0	0	0	0	1	0	0
1:LOH:0-100kb	3	2	0	7	1	3	0	0	0
1:LOH:100kb-1Mb	0	0	1	4	1	2	0	5	1
1:LOH:1Mb-10Mb	3	0	0	3	2	0	0	0	0
1:LOH:10Mb-40Mb	3	1	1	1	1	0	0	0	0
1:LOH:>40Mb	0	0	0	0	0	0	0	0	1
2:LOH:0-100kb	1	1	9	4	1	3	0	3	1
2:LOH:100kb-1Mb	1	3	8	12	1	4	0	3	1
2:LOH:1Mb-10Mb	5	7	11	14	4	4	2	4	3
2:LOH:10Mb-40Mb	0	4	4	12	3	3	2	3	7
2:LOH:>40Mb	2	2	5	4	4	3	3	2	9
3-4:LOH:0-100kb	0	1	3	2	1	2	0	6	0
3-4:LOH:100kb-1Mb	1	3	0	0	2	5	1	3	0
3-4:LOH:1Mb-10Mb	3	0	2	4	0	8	2	5	0
3-4:LOH:10Mb-40Mb	5	1	1	2	0	3	2	1	0
3-4:LOH:>40Mb	0	0	1	2	0	3	1	0	0
5-8:LOH:0-100kb	0	0	0	1	0	0	0	4	0
5-8:LOH:100kb-1Mb	0	0	1	2	0	0	3	7	0
5-8:LOH:1Mb-10Mb	1	0	0	3	0	2	2	13	0
5-8:LOH:10Mb-40Mb	1	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	8	0	1	4	0	4	0	2	0
9+:LOH:100kb-1Mb	3	0	0	2	0	7	0	1	0
9+:LOH:1Mb-10Mb	0	0	0	1	0	1	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0
2:het:0-100kb	5	2	2	3	2	1	0	4	0
2:het:100kb-1Mb	1	3	2	6	1	2	0	0	0
2:het:1Mb-10Mb	5	2	5	1	4	0	0	4	0
2:het:10Mb-40Mb	1	0	3	1	1	2	0	0	0
2:het:>40Mb	0	0	2	0	0	0	0	0	5
3-4:het:0-100kb	7	6	12	12	6	8	3	5	3
3-4:het:100kb-1Mb	16	6	22	33	4	15	1	15	5
3-4:het:1Mb-10Mb	20	12	23	40	8	14	5	18	6
3-4:het:10Mb-40Mb	15	16	27	15	11	24	11	25	6
3-4:het:>40Mb	7	17	11	17	13	17	12	14	10
5-8:het:0-100kb	4	5	9	15	5	16	1	16	1
5-8:het:100kb-1Mb	13	2	14	19	11	13	15	34	0
5-8:het:1Mb-10Mb	6	3	9	13	5	16	4	28	4
5-8:het:10Mb-40Mb	2	4	0	3	2	14	5	7	0
5-8:het:>40Mb	0	0	0	0	2	0	2	1	1
9+:het:0-100kb	26	5	16	0	0	18	2	18	0
9+:het:100kb-1Mb	11	18	10	1	0	19	6	23	1
9+:het:1Mb-10Mb	1	1	1	1	0	5	0	5	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0
