ttype	signature	gained_in_all	lost_in_all	present_in_both	absent_in_both
OV	SBS.SBS1	1	0	24	6
OV	SBS.SBS11	1	0	2	28
OV	SBS.SBS13	3	2	0	26
OV	SBS.SBS15	0	4	0	27
OV	SBS.SBS16	1	3	2	25
OV	SBS.SBS18	1	0	11	19
OV	SBS.SBS19	0	0	2	29
OV	SBS.SBS23	1	1	1	28
OV	SBS.SBS3	0	5	17	9
OV	SBS.SBS30	2	0	0	29
OV	SBS.SBS32	1	0	1	29
OV	SBS.SBS39	17	0	0	14
OV	SBS.SBS40a	4	2	14	11
OV	SBS.SBS45	0	1	0	30
OV	SBS.SBS5	4	1	20	6
OV	SBS.SBS50	1	3	7	20
OV	SBS.SBS6	4	2	6	19
OV	SBS.SBS7b	0	2	0	29
OV	SBS.SBS7c	1	0	2	28
OV	SBS.SBS8	3	0	19	9
OV	SBS.SBS88	0	0	3	28
OV	SBS.SBS92	3	1	7	20
OV	SBS.SBS94	6	0	2	23
OV	SBS.SBS97	0	1	2	28
MALY	SBS.SBS1	1	4	7	0
MALY	SBS.SBS10d	1	0	4	7
MALY	SBS.SBS16	0	1	0	11
MALY	SBS.SBS17b	1	2	2	7
MALY	SBS.SBS18	0	1	6	5
MALY	SBS.SBS19	0	1	4	7
MALY	SBS.SBS30	2	1	4	5
MALY	SBS.SBS32	0	1	0	11
MALY	SBS.SBS5	0	0	12	0
MALY	SBS.SBS50	0	3	0	9
MALY	SBS.SBS57	0	1	0	11
MALY	SBS.SBS58	0	3	0	9
MALY	SBS.SBS6	2	0	0	10
MALY	SBS.SBS7d	0	1	0	11
MALY	SBS.SBS8	2	1	7	2
MALY	SBS.SBS85	3	1	4	4
MALY	SBS.SBS9	2	0	10	0
MALY	SBS.SBS93	1	1	5	5
LIRI	SBS.SBS1	1	0	1	14
LIRI	SBS.SBS12	0	0	16	0
LIRI	SBS.SBS15	0	1	0	15
LIRI	SBS.SBS16	0	3	6	7
LIRI	SBS.SBS40a	1	0	13	2
LIRI	SBS.SBS46	2	1	6	7
LIRI	SBS.SBS5	3	0	13	0
LIRI	SBS.SBS8	0	0	16	0
LIRI	SBS.SBS92	2	2	11	1
RECA	SBS.SBS1	0	0	1	7
RECA	SBS.SBS12	0	0	2	6
RECA	SBS.SBS16	2	0	0	6
RECA	SBS.SBS22a	2	0	0	6
RECA	SBS.SBS35	0	6	0	2
RECA	SBS.SBS40a	1	0	7	0
RECA	SBS.SBS40b	0	0	8	0
RECA	SBS.SBS44	4	0	0	4
RECA	SBS.SBS5	2	0	3	3
RECA	SBS.SBS7c	0	1	2	5
RECA	SBS.SBS84	0	1	0	7
RECA	SBS.SBS92	0	6	0	2
RECA	SBS.SBS94	5	0	0	3
RECA	SBS.SBS97	0	0	1	7
BRCA	SBS.SBS1	0	1	15	5
BRCA	SBS.SBS13	0	0	6	15
BRCA	SBS.SBS16	0	2	5	14
BRCA	SBS.SBS18	0	9	0	12
BRCA	SBS.SBS2	0	0	3	18
BRCA	SBS.SBS29	4	0	3	14
BRCA	SBS.SBS3	1	1	10	9
BRCA	SBS.SBS30	0	2	1	18
BRCA	SBS.SBS32	0	1	1	19
BRCA	SBS.SBS35	0	0	2	19
BRCA	SBS.SBS39	0	1	8	12
BRCA	SBS.SBS40a	2	0	15	4
BRCA	SBS.SBS5	0	1	20	0
BRCA	SBS.SBS57	0	1	2	18
BRCA	SBS.SBS6	0	0	3	18
BRCA	SBS.SBS7a	0	0	2	19
BRCA	SBS.SBS8	0	0	12	9
BRCA	SBS.SBS86	0	0	1	20
PACA	SBS.SBS1	0	0	29	3
PACA	SBS.SBS12	1	0	9	22
PACA	SBS.SBS13	0	1	3	28
PACA	SBS.SBS15	4	2	6	20
PACA	SBS.SBS16	0	1	1	30
PACA	SBS.SBS2	1	0	1	30
PACA	SBS.SBS29	1	0	3	28
PACA	SBS.SBS3	0	1	18	13
PACA	SBS.SBS30	1	2	1	28
PACA	SBS.SBS32	0	0	0	32
PACA	SBS.SBS40a	1	0	26	5
PACA	SBS.SBS5	4	0	23	5
PACA	SBS.SBS50	2	1	1	28
PACA	SBS.SBS6	0	1	1	30
PACA	SBS.SBS7a	0	2	0	30
PACA	SBS.SBS8	0	3	19	10
PACA	SBS.SBS92	1	3	5	23
PACA	SBS.SBS96	3	1	12	16
PBCA	SBS.SBS1	0	0	5	0
PBCA	SBS.SBS10b	0	0	2	3
PBCA	SBS.SBS15	0	0	4	1
PBCA	SBS.SBS5	0	0	5	0
PBCA	SBS.SBS50	0	0	2	3
PBCA	SBS.SBS57	0	0	1	4
PBCA	SBS.SBS8	0	0	3	2
MELA	SBS.SBS1	0	0	7	12
MELA	SBS.SBS18	0	0	2	17
MELA	SBS.SBS19	0	0	1	18
MELA	SBS.SBS2	3	1	0	15
MELA	SBS.SBS38	0	1	2	16
MELA	SBS.SBS40a	3	0	8	8
MELA	SBS.SBS5	2	0	9	8
MELA	SBS.SBS58	1	0	2	16
MELA	SBS.SBS7a	0	0	13	6
MELA	SBS.SBS7b	0	1	12	6
MELA	SBS.SBS7d	0	6	0	13
MELA	SBS.SBS94	5	0	0	14
PRAD	SBS.SBS1	0	6	18	0
PRAD	SBS.SBS16	0	2	0	22
PRAD	SBS.SBS30	0	0	0	24
PRAD	SBS.SBS32	0	6	0	18
PRAD	SBS.SBS35	0	3	0	21
PRAD	SBS.SBS38	0	6	0	18
PRAD	SBS.SBS40a	23	0	0	1
PRAD	SBS.SBS5	0	0	24	0
PRAD	SBS.SBS8	0	1	20	3
PRAD	SBS.SBS94	18	0	0	6
ESAD	SBS.SBS1	0	1	16	7
ESAD	SBS.SBS17a	1	1	18	4
ESAD	SBS.SBS17b	1	0	21	2
ESAD	SBS.SBS18	0	1	20	3
ESAD	SBS.SBS28	1	3	2	18
ESAD	SBS.SBS31	0	3	0	21
ESAD	SBS.SBS5	0	0	24	0
ESAD	SBS.SBS57	0	6	0	18
ESAD	SBS.SBS93	20	0	0	4
BOCA	SBS.SBS1	0	0	3	7
BOCA	SBS.SBS16	0	0	0	10
BOCA	SBS.SBS25	0	0	5	5
BOCA	SBS.SBS30	0	0	3	7
BOCA	SBS.SBS32	0	0	1	9
BOCA	SBS.SBS35	0	0	2	8
BOCA	SBS.SBS46	0	0	2	8
BOCA	SBS.SBS5	0	0	10	0
BOCA	SBS.SBS8	0	0	10	0
BOCA	SBS.SBS96	0	0	2	8
BOCA	SBS.SBS99	0	0	3	7
